Apr 15 03:41:17 kibot-kotlin-1 kidax-engine[1117785]: 03:41:17.518 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 6ms
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.221 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.222 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.222 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.351 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.385 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching lease snapshot
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.459 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: refreshing devices / risk / equity / commands / weekly review
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.494 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: probing market reachability and orderbook cache
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.551 WARN  com.kibot.macengine.runtime.MacEngineDaemon - [EXCHANGE_PROBE] FAILED - Exchange unreachable (failure count: 7)
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.551 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: applying pending commands / sync processing
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.551 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: building local health / syncing flags
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.551 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: takeover / release gate evaluation
Apr 15 03:41:18 kibot-kotlin-1 kidax-engine[1117785]: 03:41:18.551 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: re-reading canonical bot/lease snapshots
Apr 15 03:41:19 kibot-kotlin-1 kidax-engine[1117785]: 03:41:19.518 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 10ms
Apr 15 03:41:19 kibot-kotlin-1 kidax-engine[1117785]: 03:41:19.619 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: preparing exchange fetches
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: awaiting balances / open orders / market quotes
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: enriching runtime market quotes
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: market health resolved feedHealthy=true exchangeReachable=false warnings=2
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: reached holdings evaluation handoff
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [CAPITAL_REBALANCE] stable_available=25058 aggressive_available=10739 stable_deployed=0 aggressive_deployed=0
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.176 INFO  com.kibot.macengine.runtime.MacEngineDaemon - SIDE_EFFECTS_GATE: isMaster=true forceMomentumSideEffects=false strategyCyclePresent=false runtimeLeasePresent=true
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.177 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] referenceQuoteAsset=idr rate_to_idr=1
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.177 INFO  com.kibot.macengine.runtime.MacEngineDaemon - [PORTFOLIO_CALC] total_equity=65201 IDR from 4 balances, 0 quotes
Apr 15 03:41:21 kibot-kotlin-1 kidax-engine[1117785]: 03:41:21.516 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:23 kibot-kotlin-1 kidax-engine[1117785]: 03:41:23.520 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 7ms
Apr 15 03:41:24 kibot-kotlin-1 kidax-engine[1117785]: 03:41:24.522 ERROR com.kibot.macengine.runtime.MacEngineDaemon - LIFECYCLE_BLOCK: Cannot start sync cycle because state is DEGRADED
Apr 15 03:41:24 kibot-kotlin-1 kidax-engine[1117785]: 03:41:24.523 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: entering dead zone after control-plane setup
Apr 15 03:41:24 kibot-kotlin-1 kidax-engine[1117785]: 03:41:24.523 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: checking local balance / peer state cache
Apr 15 03:41:25 kibot-kotlin-1 kidax-engine[1117785]: 03:41:25.524 INFO  io.ktor.server.Application - 200 OK: GET - /api/state in 12ms
Apr 15 03:41:26 kibot-kotlin-1 kidax-engine[1117785]: 03:41:26.151 INFO  com.kibot.macengine.runtime.MacEngineDaemon - DEAD_ZONE_TRACE: fetching local bot state snapshot
